pattern_id,pattern_type,pattern_syntax,description,example,evidence_required
PAT-001,SCREEN_DEFINITION,"SCREEN nome_tela",Define uma nova tela no Visual Age,"SCREEN TELA_CONSULTA",YES
PAT-002,SCREEN_DEFINE,"DEFINE SCREEN nome",Define propriedades da tela,"DEFINE SCREEN TELA_CONSULTA SIZE 24 80",YES
PAT-003,FIELD_DEFINITION,"FIELD nome_campo",Define um campo na tela,"FIELD COD_BANCO TYPE CHAR(10)",YES
PAT-004,FIELD_TYPE_INPUT,"TYPE ... INPUT",Campo de entrada de dados,"FIELD COD_BANCO TYPE CHAR(10) INPUT",YES
PAT-005,FIELD_TYPE_OUTPUT,"TYPE ... OUTPUT",Campo de saída/exibição,"FIELD NOME_BANCO TYPE CHAR(50) OUTPUT",YES
PAT-006,FIELD_TYPE_DISPLAY,"TYPE ... DISPLAY",Campo apenas visualização,"FIELD TOTAL TYPE DECIMAL(15,2) DISPLAY",YES
PAT-007,SQL_EXEC,"EXEC SQL ... END-EXEC",Bloco de execução SQL,"EXEC SQL SELECT * FROM BANCOS END-EXEC",YES
PAT-008,SQL_SELECT,"SELECT ... FROM",Query de consulta,"SELECT COD_BANCO FROM BANCOS WHERE ATIVO='S'",YES
PAT-009,SQL_INSERT,"INSERT INTO ... VALUES",Query de inserção,"INSERT INTO LOGS VALUES (:WS-DATA, :WS-USER)",YES
PAT-010,SQL_UPDATE,"UPDATE ... SET ... WHERE",Query de atualização,"UPDATE BANCOS SET ATIVO='N' WHERE COD_BANCO=:WS-COD",YES
PAT-011,SQL_DELETE,"DELETE FROM ... WHERE",Query de exclusão,"DELETE FROM TEMP WHERE SESSAO=:WS-SESSAO",YES
PAT-012,CONDITIONAL_IF,"IF condição THEN ... END-IF",Estrutura condicional simples,"IF WS-PERIODO > 90 THEN PERFORM ERRO END-IF",YES
PAT-013,CONDITIONAL_EVALUATE,"EVALUATE variável WHEN ... END-EVALUATE",Estrutura switch/case,"EVALUATE WS-OPCAO WHEN 1 PERFORM CONSULTA",YES
PAT-014,LOOP_PERFORM,"PERFORM ... UNTIL",Loop com condição,"PERFORM PROCESSAR UNTIL WS-FIM = 'S'",YES
PAT-015,LOOP_PERFORM_TIMES,"PERFORM ... TIMES",Loop com contador,"PERFORM VALIDAR 10 TIMES",YES
PAT-016,CALL_PROGRAM,"CALL 'programa' USING",Chamada de programa externo,"CALL 'VALIDA-BANCO' USING WS-COD WS-RET",YES
PAT-017,PERFORM_ROUTINE,"PERFORM rotina",Executa rotina interna,"PERFORM VALIDAR-PERIODO",YES
PAT-018,MOVE_STATEMENT,"MOVE valor TO variavel",Atribuição de valor,"MOVE 'ERRO' TO MSG-ERRO",NO
PAT-019,WINDOW_DEFINITION,"WINDOW AT linha coluna",Define posição da janela,"WINDOW AT 1 1 SIZE 24 80",YES
PAT-020,FIELD_POSITION,"AT ROW linha COL coluna",Posição do campo na tela,"AT ROW 5 COL 15",YES
PAT-021,FIELD_REQUIRED,"REQUIRED",Campo obrigatório,"FIELD COD_BANCO REQUIRED",YES
PAT-022,FIELD_NUMERIC,"NUMERIC",Campo aceita apenas números,"FIELD COD_BANCO NUMERIC",YES
PAT-023,FIELD_VALIDATION,"VALID VALUES",Validação de valores permitidos,"VALID VALUES ('S', 'N')",YES
PAT-024,SQL_INTO,"INTO :variavel",Destino de query SELECT,"SELECT NOME INTO :WS-NOME FROM BANCOS",YES
PAT-025,SQL_WHERE,"WHERE condição",Cláusula de filtro SQL,"WHERE ATIVO = 'S' AND COD_BANCO = :WS-COD",YES
PAT-026,SQL_JOIN,"JOIN tabela ON",Join entre tabelas,"JOIN CLIENTES ON BANCOS.COD = CLIENTES.COD_BANCO",YES
PAT-027,SQL_ORDER_BY,"ORDER BY campo",Ordenação de resultados,"ORDER BY NOME_BANCO ASC",YES
PAT-028,SQL_GROUP_BY,"GROUP BY campo",Agrupamento de resultados,"GROUP BY COD_BANCO",YES
PAT-029,CURSOR_DECLARE,"DECLARE cursor CURSOR FOR",Declaração de cursor,"DECLARE C1 CURSOR FOR SELECT * FROM BANCOS",YES
PAT-030,CURSOR_OPEN,"OPEN cursor",Abertura de cursor,"OPEN C1",YES
PAT-031,CURSOR_FETCH,"FETCH cursor INTO",Leitura de cursor,"FETCH C1 INTO :WS-COD, :WS-NOME",YES
PAT-032,CURSOR_CLOSE,"CLOSE cursor",Fechamento de cursor,"CLOSE C1",YES
PAT-033,ERROR_HANDLING,"ON ERROR",Tratamento de erro,"ON ERROR PERFORM TRATA-ERRO",YES
PAT-034,TRANSACTION_BEGIN,"BEGIN TRANSACTION",Início de transação,"BEGIN TRANSACTION",YES
PAT-035,TRANSACTION_COMMIT,"COMMIT",Confirmação de transação,"COMMIT",YES
PAT-036,TRANSACTION_ROLLBACK,"ROLLBACK",Cancelamento de transação,"ROLLBACK",YES
PAT-037,VARIABLE_DECLARATION,"DECLARE variavel TYPE",Declaração de variável,"DECLARE WS-CONTADOR TYPE INTEGER",NO
PAT-038,CONSTANT_DEFINITION,"CONSTANT nome VALUE",Definição de constante,"CONSTANT MAX-PERIODO VALUE 90",NO
PAT-039,COMMENT_LINE,"* comentário",Comentário de linha,"* Validação de período máximo",NO
PAT-040,COMMENT_BLOCK,"/* comentário */",Comentário de bloco,"/* Rotina de validação de banco */",NO




